Meanings,English Definition,POS,J Translation
capable,Having the ability to do something; can do,adj,能力がある
capital,"Main, or major",adj,主要な
career,particular occupation in professional life,n,経歴；職業
carpet,"colored floor covering made of wool, etc",n,カーペット
cash,physical money (not credit card or digital),n,現金
cast,people who appear in a play or movie,n,配役
castle,large defensive building in historical times,n,城
cent,100th of the basic unit of money e.g. there are 100 of these in a dollar,n,セント
century,period of 100 years,n,世紀
chain,series of (metal) connected links or rings,n,繋ぎ、連鎖
challenge,an activity you wish to try that may be hard to do,n,挑戦
champion,person who fights for or supports strongly,n,チャンピオン；優勝者
championship,sports competition to find the best player or team,n,選手権
channel,long hole dug in the ground,n,溝を掘る； 溝
chapter,One of the main sections of a book,n,章
character,Your personality or nature,n,性格;  性質;  特徴
characterize,"To describe the qualities of person, place, thing",verb,～とみなす； 描く； 特徴づける
charm,quality of making people like you; attractiveness,n,魅力，魅了
chase,To go after someone or something with the intent to catch,verb,追いかける，追跡
chat,To talk in a friendly and relaxed manner,verb,おしゃべりする；チャットする
cheek,"soft skin on each side of the face, below the eyes",n,頬
cheese,yellowish solid food made from aged milk,n,チーズ
chest,"strong, lidded container for storing things",n,(頑丈な)収納箱
chief,most important one,adj,主要な； 最重要の
chocolate,A hard brown candy made from cocoa beans,n,チョコレート
cigarette,white stick filled with tobacco and covered in paper,n,タバコ
circle,A perfectly round shape,n,円；輪
circumstance,condition or fact that affects a situation,n,状況
citizen,person who belongs to and has rights in a country,n,市民
claim,To say something is true when others may not agree,verb,主張する；要求する
classic,Something popular or famous for a long time,n,一流作品；古典
classical,Concerning ideas considered to be traditional,adj,古典的な
cloud,"a mass of water vapor in the sky, as when it is going to rain",n,雲；曇り
coach,"person who teaches others how to do (sport, job) ",n,コー​チ
coal,dark hard substance from the earth burnt as a fuel,n,石炭
coast,land near the sea or ocean,n,海岸
combination,act or result of mixing things together,n,組み合わせ
combine,To mix several things together to form one thing,verb,組み合わせる
command,To give an order; have control over others,verb,指揮する
comment,"something you say, giving an opinion; remark",n,論評；コメント
commercial,radio or television advertisement,n,コマーシャルの
commit,"to do something bad, usually a crime",verb,(罪などを)犯す
commitment,promise or decision to do something for a purpose,n,約束； 誓約
committee,group of people who do or decide something,n,委員会
common,"typical, normal; not unusual",adj,共通の;  普通の;  一般的な
community,group of people who share a common idea or area,n,地域社会
compare,To consider how similar and different things are,verb,比較する
comparison,Looking for differences and similarities in two or more things,n,比較
competition,fighting against others when trying to win something,n,競争
complain,To say something is wrong and should be changed,verb,不平を言う
complicate,"To make more difficult to do, understand or use",verb,複雑にする
concentrate,to pay great attention to a task; focus,verb,集中する
concentration,paying ( a lot of) attention to a task,n,集中；濃度
condition,"the state of living you are in, e.g. good health",n,状態;  状況
confuse,To make something unclear or hard to understand,verb,混乱させる
confusion,Not knowing what to do; state of disorder,n,混乱
connect,To join or attach things together,verb,つなぐ；接続する
connection,something that joins things together; being joined,n,接続
constant,Happening frequently or without pause,adj,不変の；不断の
constantly,frequently or without pause,adv,絶えず
contact,To get in touch with someone,verb,接触する；連絡する
contain,To hold something inside something else,verb,含む；入る
contract,"legal agreement, e.g. for doing work for money",n,契約
contribute,"To donate, give (money) or help to something",verb,寄付する
contribution,"Helping a cause by giving money, things, services",n,寄付
convince,"To persuade someone, or make them feel sure",verb,納得させる
cope,To deal with something in spite of difficulties,verb,対処する
copy,To make something that looks the same as the original,verb,写す； コピーする； まねる
correct,True or accurate,adj,正しい，訂正する
cough,"To force air through your throat with a short, loud noise",verb,咳をする
council,group chosen to make decisions about something,n,評議会
counter,To indicate opposition or resistance,verb,反論，反論する
county,administrative region within a country or a state,n,郡；州
cow,large farm animal from which we get milk and beef,n,牛
crack,To almost break something,verb,割れる，割れ目
crash,to damage an object by causing it to hit something,verb,衝突する
cream,thick liquid rubbed into the skin,n,クリーム
create,"to make, cause, or bring into existence",verb,作り出す；創造する
creation,act of making something,n,創造
